,year,tier,ad_name,ad_revenue_x,ad_revenue_y,sow,connection
0,2017,1,Banner,66711.86000000009,514659.97,0.12962317624974815,Admob
1,2017,1,Banner,10911.87000000001,514659.97,0.021202095822606935,Facebook
2,2017,1,Banner,232392.85999999987,514659.97,0.45154640645550864,Marketplace
3,2017,1,Banner,93233.73000000003,514659.97,0.1811559776059522,Other
4,2017,1,Banner,111409.64999999998,514659.97,0.21647234386618408,inMobi
5,2017,1,Interstitial,74908.47999999998,763002.7099999995,0.09817590294010886,Admob
6,2017,1,Interstitial,18707.73999999998,763002.7099999995,0.02451857608736408,Facebook
7,2017,1,Interstitial,339342.3099999998,763002.7099999995,0.4447458777702114,Marketplace
8,2017,1,Interstitial,324362.4799999998,763002.7099999995,0.4251131427829398,Ogury
9,2017,1,Interstitial,5561.97,763002.7099999995,0.007289580924293184,Other
10,2017,1,Interstitial,119.72999999999999,763002.7099999995,0.0001569194950827895,inMobi
11,2017,1,MREC,1126.4799999999993,2415.839999999999,0.4662891582223988,Admob
12,2017,1,MREC,1289.3599999999994,2415.839999999999,0.5337108417776012,Marketplace
13,2017,1,Native,138335.3100000002,567234.9300000003,0.24387657156444884,Admob
14,2017,1,Native,110229.85999999974,567234.9300000003,0.1943284063976802,Facebook
15,2017,1,Native,317448.1400000004,567234.9300000003,0.5596413817463608,Marketplace
16,2017,1,Native,1221.6199999999992,567234.9300000003,0.002153640291510254,inMobi
17,2017,1,Rewarded Video,61.38,61.38,1.0,Admob
18,2017,2,Banner,24666.05999999999,65919.97000000002,0.3741819057259884,Admob
19,2017,2,Banner,3998.4300000000007,65919.97000000002,0.06065582250720077,Facebook
20,2017,2,Banner,24185.58000000003,65919.97000000002,0.36689306745740363,Marketplace
21,2017,2,Banner,11470.649999999989,65919.97000000002,0.1740087260355244,Other
22,2017,2,Banner,1599.2500000000002,65919.97000000002,0.024260478273882707,inMobi
23,2017,2,Interstitial,24993.220000000038,140292.38999999998,0.1781509317789799,Admob
24,2017,2,Interstitial,6319.6799999999985,140292.38999999998,0.045046491830383666,Facebook
25,2017,2,Interstitial,40619.86000000001,140292.38999999998,0.28953715878673114,Marketplace
26,2017,2,Interstitial,68239.68999999994,140292.38999999998,0.4864104888369209,Ogury
27,2017,2,Interstitial,105.05,140292.38999999998,0.0007487932880749983,Other
28,2017,2,Interstitial,14.89,140292.38999999998,0.0001061354789094405,inMobi
29,2017,2,MREC,82.99000000000002,82.99000000000002,1.0,Admob
30,2017,2,Native,83323.90999999993,135383.03999999995,0.6154678606714693,Admob
31,2017,2,Native,26220.930000000033,135383.03999999995,0.19367957758963045,Facebook
32,2017,2,Native,24712.239999999983,135383.03999999995,0.18253571496104676,Marketplace
33,2017,2,Native,1125.9600000000003,135383.03999999995,0.00831684677785342,inMobi
34,2017,2,Rewarded Video,6.82,6.82,1.0,Admob
35,2017,3,Banner,49697.97999999992,110489.27999999987,0.4497991117328304,Admob
36,2017,3,Banner,7131.030000000012,110489.27999999987,0.06454046944644784,Facebook
37,2017,3,Banner,39127.579999999936,110489.27999999987,0.3541301020334279,Marketplace
38,2017,3,Banner,4193.670000000003,110489.27999999987,0.03795544689946398,Other
39,2017,3,Banner,10339.01999999999,110489.27999999987,0.09357486988782986,inMobi
40,2017,3,Interstitial,38944.89999999986,189728.07999999975,0.205266927278239,Admob
41,2017,3,Interstitial,17082.59000000003,189728.07999999975,0.09003722590773096,Facebook
42,2017,3,Interstitial,106551.68999999986,189728.07999999975,0.5616021097140708,Marketplace
43,2017,3,Interstitial,23625.329999999994,189728.07999999975,0.12452205282423152,Ogury
44,2017,3,Interstitial,3523.5700000000033,189728.07999999975,0.018571684275727703,inMobi
45,2017,3,MREC,61.66,64.84,0.9509561998766193,Admob
46,2017,3,MREC,3.1799999999999997,64.84,0.049043800123380624,Marketplace
47,2017,3,Native,65104.2,162362.6499999999,0.4009801515311559,Admob
48,2017,3,Native,24036.920000000042,162362.6499999999,0.14804463957689812,Facebook
49,2017,3,Native,72432.04999999986,162362.6499999999,0.4461127605394461,Marketplace
50,2017,3,Native,789.4800000000002,162362.6499999999,0.004862448352499794,inMobi
51,2017,3,Rewarded Video,31.73,31.73,1.0,Admob
52,2018,1,Banner,96632.46000000006,409792.8500000003,0.23580806741747687,Admob
53,2018,1,Banner,1284.1299999999999,409792.8500000003,0.0031336076263897695,Facebook
54,2018,1,Banner,146263.27000000016,409792.8500000003,0.3569200145878583,Marketplace
55,2018,1,Banner,45494.260000000024,409792.8500000003,0.11101770077247562,Other
56,2018,1,Banner,120118.73000000011,409792.8500000003,0.2931206095957995,inMobi
57,2018,1,Interstitial,89329.16999999995,506110.33999999997,0.1765013731985795,Admob
58,2018,1,Interstitial,29866.589999999975,506110.33999999997,0.05901201307209012,Facebook
59,2018,1,Interstitial,104356.88000000008,506110.33999999997,0.2061939299639681,Marketplace
60,2018,1,Interstitial,210157.48000000004,506110.33999999997,0.415240439466224,Ogury
61,2018,1,Interstitial,2751.6699999999983,506110.33999999997,0.005436897416480364,Other
62,2018,1,Interstitial,69648.54999999993,506110.33999999997,0.13761534688265792,inMobi
63,2018,1,MREC,6605.9699999999975,8299.889999999998,0.7959105482120846,Admob
64,2018,1,MREC,1653.7499999999998,8299.889999999998,0.19924962860953582,Marketplace
65,2018,1,MREC,40.17,8299.889999999998,0.004839823178379474,inMobi
66,2018,1,Native,174195.52000000025,574608.6000000006,0.3031550867842912,Admob
67,2018,1,Native,26169.389999999974,574608.6000000006,0.04554298351956436,Facebook
68,2018,1,Native,104039.41000000027,574608.6000000006,0.18106135202292511,Marketplace
69,2018,1,Native,270204.28,574608.6000000006,0.47024057767321925,Other
70,2018,1,Rewarded Video,7313.13,21932.119999999995,0.3334438257678693,Admob
71,2018,1,Rewarded Video,10732.76,21932.119999999995,0.48936263343443326,Facebook
72,2018,1,Rewarded Video,854.2799999999999,21932.119999999995,0.03895109091141212,Marketplace
73,2018,1,Rewarded Video,3031.9499999999985,21932.119999999995,0.13824244988628545,Other
74,2018,2,Banner,44055.70999999994,71093.74999999994,0.6196847120879118,Admob
75,2018,2,Banner,241.93,71093.74999999994,0.0034029714285714312,Facebook
76,2018,2,Banner,13139.749999999996,71093.74999999994,0.18482285714285723,Marketplace
77,2018,2,Banner,169.11,71093.74999999994,0.002378690109890112,Other
78,2018,2,Banner,13487.250000000004,71093.74999999994,0.18971076923076943,inMobi
79,2018,2,Interstitial,43182.42000000011,109178.9000000001,0.39551983029688037,Admob
80,2018,2,Interstitial,3060.3699999999985,109178.9000000001,0.028030782504678064,Facebook
81,2018,2,Interstitial,21867.989999999987,109178.9000000001,0.20029502037481572,Marketplace
82,2018,2,Interstitial,41040.73000000001,109178.9000000001,0.37590349417332447,Ogury
83,2018,2,Interstitial,27.389999999999997,109178.9000000001,0.0002508726503014774,inMobi
84,2018,2,MREC,2697.0199999999995,3176.8899999999994,0.8489497590410747,Admob
85,2018,2,MREC,464.9400000000001,3176.8899999999994,0.14635067629033433,Marketplace
86,2018,2,MREC,14.930000000000001,3176.8899999999994,0.004699564668590982,inMobi
87,2018,2,Native,64240.21999999989,85240.75999999988,0.7536326517970978,Admob
88,2018,2,Native,2317.1499999999987,85240.75999999988,0.027183591511854212,Facebook
89,2018,2,Native,18683.38999999998,85240.75999999988,0.2191837566910479,Marketplace
90,2018,2,Rewarded Video,2325.199999999999,3092.549999999999,0.751871432959855,Admob
91,2018,2,Rewarded Video,183.93,3092.549999999999,0.05947519037687348,Facebook
92,2018,2,Rewarded Video,116.02999999999999,3092.549999999999,0.03751919936621883,Marketplace
93,2018,2,Rewarded Video,467.38999999999993,3092.549999999999,0.15113417729705264,Other
94,2018,3,Banner,59347.34000000008,126630.57000000007,0.4686651888244683,Admob
95,2018,3,Banner,1007.2500000000002,126630.57000000007,0.00795424043341193,Facebook
96,2018,3,Banner,48202.53999999998,126630.57000000007,0.3806548450346544,Marketplace
97,2018,3,Banner,5999.899999999999,126630.57000000007,0.04738113395525263,Other
98,2018,3,Banner,12073.540000000005,126630.57000000007,0.09534459175221274,inMobi
99,2018,3,Interstitial,49649.879999999954,232647.26000000024,0.21341270041177318,Admob
100,2018,3,Interstitial,13403.28000000001,232647.26000000024,0.05761202603460705,Facebook
101,2018,3,Interstitial,152611.82000000027,232647.26000000024,0.6559794428698628,Marketplace
102,2018,3,Interstitial,11234.110000000002,232647.26000000024,0.04828816810479518,Ogury
103,2018,3,Interstitial,860.9399999999999,232647.26000000024,0.0037006238543277883,Other
104,2018,3,Interstitial,4887.230000000005,232647.26000000024,0.02100703872463402,inMobi
105,2018,3,MREC,2800.0799999999977,4640.519999999999,0.603397895063484,Admob
106,2018,3,MREC,1791.650000000001,4640.519999999999,0.3860881970124041,Marketplace
107,2018,3,MREC,48.79,4640.519999999999,0.010513907924111957,inMobi
108,2018,3,Native,62193.02000000006,177469.1400000004,0.35044413918949474,Admob
109,2018,3,Native,10991.090000000057,177469.1400000004,0.06193240131777295,Facebook
110,2018,3,Native,55738.04000000025,177469.1400000004,0.3140717310063041,Marketplace
111,2018,3,Native,48546.99000000003,177469.1400000004,0.2735517284864282,Other
112,2018,3,Rewarded Video,6628.660000000004,7697.270000000003,0.8611702590658769,Admob
113,2018,3,Rewarded Video,236.97,7697.270000000003,0.03078623979670713,Facebook
114,2018,3,Rewarded Video,74.65000000000003,7697.270000000003,0.00969824366301299,Marketplace
115,2018,3,Rewarded Video,756.9899999999991,7697.270000000003,0.0983452574744031,Other
